category,question,option1,option2,option3,option4,answer
분노,"분노 문제 1: 분을 내어도 죄를 짓지 말며 해가 지도록 분을 ______ 말고 (엡4:26)
빈칸에 들어갈 알맞은 말을 고르시오.",없애지,참지,품지,터뜨리지,3
분노,"분노 문제 2: 노하기를 더디 하는 자는 ______보다 낫고 (잠16:32)
빈칸에 들어갈 알맞은 말을 고르시오.",왕,용사,지혜자,부자,2
분노,"분노 문제 3: 사람이 노를 더디하는 것은 그의 ______요 (잠19:11)
빈칸에 들어갈 알맞은 말을 고르시오.",덕,능력,슬기,지혜,3
분노,"분노 문제 4: 어리석은 자는 당장 ______를 나타내거니와 (잠12:16)
빈칸에 들어갈 알맞은 말을 고르시오.",걱정,불평,분노,교만,3
분노,"분노 문제 5: 격분은 어리석은 자의 ______에 머무느니라 (전7:9)
빈칸에 들어갈 알맞은 말을 고르시오.",눈,말,품,행동,3
분노,"분노 문제 6: 노하기를 더디 하는 것이 사람의 ______이며 (잠14:29)
빈칸에 들어갈 알맞은 말을 고르시오.",명철,성품,사랑,용기,1
분노,"분노 문제 7: 화목하게 하는 자는 ______이 있나니 (마5:9)
빈칸에 들어갈 알맞은 말을 고르시오.",평안,힘,영광,복,4
분노,"분노 문제 8: 분노는 무자비하게 쏟아지나 인내는 많은 ______을 덮느니라 (잠10:12)
빈칸에 들어갈 알맞은 말을 고르시오.",죄,거짓,고난,잘못,4
분노,"분노 문제 9: 사랑은 ______ 아니하며 (고전13:5)
빈칸에 들어갈 알맞은 말을 고르시오.",미워하지,탓하지,말하지,성내지,4
분노,"분노 문제 10: 악을 악으로, 욕을 욕으로 ______ 말고 (벧전3:9)
빈칸에 들어갈 알맞은 말을 고르시오.",흉보지,전하지,갚지,받지,3
분노,"분노 문제 11: 네 마음의 ______을 제하여 버리라 (전11:10)
빈칸에 들어갈 알맞은 말을 고르시오.",분노,의심,괴로움,욕심,3
분노,"분노 문제 12: 서로 친절하게 하며 ______하라 (엡4:32)
빈칸에 들어갈 알맞은 말을 고르시오.",축복,사랑,용서,기뻐,3
분노,"분노 문제 13: 불평하지 말라 그리하여야 ______을 면하리라 (약5:9)
빈칸에 들어갈 알맞은 말을 고르시오.",벌,징계,저주,심판,4
분노,"분노 문제 14: 진노는 사람의 ______을 이루지 못함이라 (약1:20)
빈칸에 들어갈 알맞은 말을 고르시오.",의,힘,믿음,뜻,1
분노,"분노 문제 15: 모든 악독과 노함과 분냄과 떠드는 것과 ______하는 것을 버리라 (엡4:31)
빈칸에 들어갈 알맞은 말을 고르시오.",탓,의심,비방,분열,3
분노,"분노 문제 16: 속히 ______하라 (마5:25)
빈칸에 들어갈 알맞은 말을 고르시오.",사죄,화목,회개,감사,2
분노,"분노 문제 17: 원수를 ______하며 핍박하는 자를 위하여 기도하라 (마5:44)
빈칸에 들어갈 알맞은 말을 고르시오.",참아,사랑,축복,용서,2
분노,"분노 문제 18: 화를 참는 것이 큰 ______니라 (잠16:32)
빈칸에 들어갈 알맞은 말을 고르시오.",믿음,지혜,용사,능력,3
분노,"분노 문제 19: 하나님의 뜻은 선을 행함으로 ______받게 하려 하심이라 (벧전3:17)
빈칸에 들어갈 알맞은 말을 고르시오.",칭찬,고난,복,사랑,2
분노,"분노 문제 20: 예수께서 십자가에서 저들을 ______셨느니라 (눅23:34)
빈칸에 들어갈 알맞은 말을 고르시오.",용서,저주,권면,기억,1
