category,question,option1,option2,option3,option4,answer
감사,10명의 나병환자 중 예수께 돌아와 감사한 사람은 몇 명인가?,1명,2명,5명,10명,1
감사,다윗이 하나님께 감사를 표현한 방법은?,단식,춤,침묵,금식,2
감사,사도 바울은 어떤 상황에서도 감사하라고 권면했는가?,기쁠 때만,슬플 때만,항상,승리할 때,3
감사,감사를 드리는 제사를 무엇이라 부르는가?,속죄제,번제,화목제,감사제,4
감사,예수님은 떡과 잔을 들고 제자들에게 주시기 전 무엇을 하셨는가?,기도하심,노하심,침묵하심,감사하심,4
감사,시편에서 '감사함으로 그의 문에 들어가라'고 말한 시편은?,시편 1편,시편 23편,시편 100편,시편 150편,3
감사,요셉은 어떤 상황에서도 하나님께 감사한 삶을 살았다. 그 이유는?,고난이 없었기에,하나님의 계획을 믿었기에,형들을 미워해서,억울해서,2
감사,이스라엘 백성이 감사하지 않아 광야에서 당한 일은?,비가 내림,가나안 입성,불뱀에 물림,축복받음,3
감사,사도 바울은 감사하지 않는 자들을 무엇이라 불렀는가?,지혜자,어리석은 자,성도,의인,2
감사,성경에서 '범사에 감사하라 이는 이것이…'라는 구절이 나오는 책은?,빌립보서,로마서,데살로니가전서,에베소서,3
감사,다니엘이 감사 기도를 드린 장소는?,왕궁,성전,자기 방,거리,3
감사,하나님께 감사하는 것이 왜 중요한가?,기도 응답을 위해,하나님을 영화롭게 하기 위해,천국 가기 위해,병 고침을 위해,2
감사,감사하는 마음은 어떤 열매를 맺는가?,분노,절망,기쁨,슬픔,3
감사,예수님이 오병이어 기적 전에 하신 행동은?,명령,질문,감사기도,책망,3
감사,바울과 실라가 감옥에서 한 행동은?,잠,탄식,기도와 찬송,도망,3
감사,하나님께 드리는 감사의 제사는 무엇을 상징하는가?,자기 의,참된 믿음,회개,율법,2
감사,감사하지 않고 원망한 백성들에게 하나님이 내린 것은?,복,구름,불,천사,3
감사,하박국 선지자는 무화과나무가 열매를 맺지 않아도 어떻게 고백했는가?,불평했다,감사했다,절망했다,회피했다,2
감사,시편 기자는 '감사로 제사를 드리는 자가 나를 영화롭게 한다'고 했다. 이 말씀은 누구의 말인가?,다윗,모세,엘리야,요나,1
감사,하나님께 감사하는 자는 어떤 길을 보게 되는가?,형통의 길,구원의 길,심판의 길,회개의 길,2
