category,question,option1,option2,option3,option4,answer
결정,솔로몬이 왕이 된 후 하나님께 구한 것은?,재물,명예,지혜,권력,3
결정,요셉이 보디발 아내의 유혹을 받았을 때 내린 결정은?,죄를 범함,도망침,거짓말함,침묵함,2
결정,룻이 시어머니 나오미를 따라가기로 한 결정은 어떤 표현으로 나타났는가?,주저함,순종,결단,회피,3
결정,엘리야가 바알 선지자들과 대결한 장소는?,호렙산,갈멜산,시내산,감람산,2
결정,예수님께서 제자들을 부르실 때 그들은 무엇을 버리고 따랐는가?,재물,가족,직업,모든 것,4
결정,다윗이 사울을 죽일 기회가 있었지만 죽이지 않은 이유는?,두려워서,기회가 없어서,하나님의 기름 부음 받은 자라서,사울이 회개해서,3
결정,아브라함이 조카 롯과 갈라설 때 어떤 결정을 했는가?,먼저 땅을 선택함,좋은 땅을 고름,롯에게 선택권을 줌,강제로 나눔,3
결정,에스더가 왕 앞에 나아가기로 결심한 말은?,피하리라,주님 뜻대로,죽으면 죽으리이다,왕이 나를 부르리라,3
결정,바울이 복음을 전하기 위해 떠난 지역은?,로마,이스라엘,이집트,아라비아,1
결정,사무엘은 이스라엘 백성이 왕을 세워달라고 했을 때 누구께 기도했는가?,다윗,하나님,엘리,사울,2
결정,이스라엘 백성이 가나안 입성을 앞두고 여호수아는 어떤 결정을 촉구했는가?,도망가라,회개하라,오늘 너희가 누구를 섬길지 택하라,애굽으로 돌아가라,3
결정,다니엘은 왕의 명령에도 불구하고 어떤 결정을 내렸는가?,도망감,기도 중단,계속 기도함,왕에게 간청함,3
결정,사도들이 예수님의 부활 이후 모인 곳에서 내린 첫 결정은?,흩어짐,안식,가룟 유다 대신 사도 뽑기,기도 중단,3
결정,요한계시록에서 교회들에게 요구되는 결단은?,사랑,믿음,회개,복수,3
결정,사사 기드온이 하나님의 뜻을 알기 위해 사용한 방법은?,기도,제비뽑기,양털 실험,재단 세움,3
결정,모세는 애굽의 왕자로서의 삶을 버리고 어떤 삶을 택했는가?,광야의 생활,군 생활,학자의 길,성전 봉사,1
결정,신명기에서 하나님은 백성에게 무엇을 선택하라고 하셨는가?,죽음,고통,생명과 복,멸망,3
결정,아나니아와 삽비라의 결정은 어떤 결과를 가져왔는가?,축복,책망,사망,벌금,3
결정,바울은 전도 여행 중 환상을 보고 어떤 결정을 내렸는가?,쉬자,돌아가자,마케도니아로 가자,예루살렘으로 가자,3
결정,믿음의 조상 아브라함이 본토 친척 아비집을 떠난 이유는?,가뭄,전쟁,하나님의 명령,로마 법,3
