category,question,option1,option2,option3,option4,answer
믿음,믿음은 무엇의 실상이요 보이지 않는 것들의 증거인가요?,사랑,바램,소망,진리,3
믿음,믿음이 없이는 하나님을 ( ) 하지 못하나니,영화롭게,기쁘시게,찾지,이해하지,2
믿음,아브라함은 누구를 믿었기에 의로 여겨졌나요?,모세,여호수아,하나님,엘리야,3
믿음,믿음은 들음에서 나며 들음은 무엇으로 말미암는가요?,하나님의 말씀,기도,성령,찬양,1
믿음,예수께서 바람과 바다를 꾸짖은 후 제자들에게 하신 말씀은?,왜 놀라느냐,어찌하여 이렇게 무서워하느냐,믿음이 작은 자들아,평안하라,3
믿음,예수님이 칭찬하신 백부장의 믿음은 어떤 믿음인가요?,큰 믿음,소망의 믿음,인내의 믿음,지식의 믿음,1
믿음,"바울은 ""의인은 ( )으로 살리라""고 말했나요?",사랑,믿음,희생,기도,2
믿음,믿음의 주요 완성자는 누구인가요?,베드로,바울,예수,다윗,3
믿음,베드로가 물 위를 걸을 수 있었던 이유는?,예수님이 끌어주셔서,바람이 잔잔해서,믿음으로,기도를 많이 해서,3
믿음,야고보서에서 믿음에 ( )이 없으면 죽은 것이라 하였나요?,말씀,순종,사랑,행함,4
믿음,믿음으로 말미암아 의롭게 된다는 것을 강조한 인물은?,요한,바울,야고보,누가,2
믿음,믿음이 겨자씨 한 알만큼만 있어도 무엇을 옮길 수 있다고 했나요?,문제,산,바다,나무,2
믿음,예수님께서 중풍병자를 고치실 때 보신 것은?,그의 기도,그의 친구들,그들의 믿음,그의 행위,3
믿음,믿음이 자라려면 우리는 ( )에 뿌리내려야 한다.,사랑,말씀,교회,전도,2
믿음,예수님께 나아온 병든 여인이 생각한 것은?,그 분을 부르면 나을 것이다,옷자락만 만져도 낫겠다,손을 잡으면 회복되리라,말씀을 들으면 치유되리라,2
믿음,히브리서 11장은 무엇의 장으로 불리나요?,지혜,예언,믿음,소망,3
믿음,"""믿는 자에게는 ( )가 가능하니라""",모든 것,영생,기적,용서,1
믿음,예수님은 의심하는 도마에게 무엇을 원하셨나요?,두려움,지혜,믿음,회개,3
믿음,믿음은 무엇을 이긴다고 했나요?,죄,고난,세상,사탄,3
믿음,하나님이 귀신 들린 아이의 아버지에게 요구한 것은?,기도,인내,믿음,고백,3
