category,question,option1,option2,option3,option4,answer
명언,"나는 생각한다, 고로 존재한다'는 명언을 남긴 철학자는?",니체,데카르트,칸트,소크라테스,2
명언,신은 죽었다'는 발언으로 유명한 철학자는?,아리스토텔레스,플라톤,니체,공자,3
명언,인간은 이성적인 동물이다'라는 명언은 누구의 말인가?,소크라테스,아리스토텔레스,칸트,데카르트,2
명언,미래를 예측하는 가장 좋은 방법은 미래를 창조하는 것이다'는 누구의 말인가?,에디슨,스티브 잡스,앨런 케이,빌 게이츠,3
명언,교육은 백지에 글을 쓰는 것과 같다'고 말한 사람은?,맹자,공자,정약용,플라톤,2
명언,성공은 준비와 기회의 만남이다'는 누구의 말인가?,에디슨,오프라 윈프리,스티브 잡스,빌 게이츠,2
명언,지식은 힘이다'는 명언을 남긴 철학자는?,베이컨,데카르트,플라톤,소크라테스,1
명언,"나는 실패한 것이 아니라, 1만 가지 방법을 발견한 것이다'라는 말은 누구의 명언인가?",에디슨,뉴턴,다윈,톨스토이,1
명언,고통 없이는 얻는 것도 없다'는 말은 누구의 말인가?,마이클 조던,벤자민 프랭클린,괴테,니체,2
명언,중요한 것은 질문을 멈추지 않는 것이다'라고 말한 과학자는?,뉴턴,아인슈타인,갈릴레이,파스칼,2
명언,"한 사람이 꿈을 꾸면 꿈이지만, 여럿이 꾸면 현실이 된다'는 말은 누구의 명언인가?",링컨,존 레논,간디,루소,2
명언,너 자신을 알라'는 명언은 누구의 것인가?,소크라테스,플라톤,공자,아우구스티누스,1
명언,인생은 자전거를 타는 것과 같다. 균형을 잡으려면 움직여야 한다'는 누구의 명언인가?,에디슨,아인슈타인,스티브 잡스,마르크스,2
명언,삶이 있는 한 희망은 있다'고 말한 인물은?,톨스토이,키케로,소크라테스,니체,2
명언,인내는 쓰지만 그 열매는 달다'는 말은 누구의 명언인가?,아리스토텔레스,플라톤,칸트,다산 정약용,1
명언,"세상은 고통으로 가득하지만, 그것을 이겨내는 사람들도 가득하다'는 누구의 말인가?",헬렌 켈러,마더 테레사,오프라 윈프리,세종대왕,1
명언,생각이 운명을 만든다'는 말은 누구의 명언인가?,간디,카네기,정약용,오프라 윈프리,1
명언,"내가 걸어온 길이 꽃길은 아니었지만, 나의 길이었다'는 명언은 누구의 말인가?",정약용,스티브 잡스,마더 테레사,유관순,2
명언,한 번도 실패하지 않은 사람은 아무것도 도전하지 않은 사람이다'는 말은 누구의 명언인가?,아인슈타인,에디슨,로버트 F. 케네디,뉴턴,3
명언,세상은 생각하는 대로 이루어진다'는 명언은 누구의 말인가?,에머슨,간디,톨스토이,맹자,1
