category,question,option1,option2,option3,option4,answer
사랑,하나님은 ( )이시라.,사랑,능력,지혜,평화,1
사랑,"""원수를 사랑하라""고 말씀하신 분은 누구인가요?",바울,예수님,다윗,모세,2
사랑,사랑은 모든 것을 ( )하며 모든 것을 믿으며 모든 것을 바라며 모든 것을 견디느니라.,참으며,감추며,이기며,용서하며,1
사랑,사랑은 율법의 ( )이라.,기초,완성,기준,예언,2
사랑,“사랑은 오래 참고 ( )하며”는 고린도전서에 나온다.,너그럽게,인내하며,친절하게,성실히,3
사랑,“네 이웃을 네 몸과 같이 사랑하라”는 어디에 나오는 말씀인가요?,마가복음,신명기,출애굽기,시편,1
사랑,예수님이 우리를 위해 목숨을 버리신 이유는?,정의를 위해,사랑 때문,율법 준수,하나님의 분노,2
사랑,사랑에는 ( )이 없고 온전한 사랑이 두려움을 내쫓느니라.,고통,시기,두려움,죄,3
사랑,“우리가 사랑함은 그가 먼저 우리를 ( ) 때문이라”,이해하신,사랑하신,용서하신,도우신,2
사랑,사랑은 시기하지 아니하며 자랑하지 아니하며 ( ) 아니하며.,무례히 행하지,교만하지,미워하지,두려워하지,1
사랑,모든 계명의 완성은 무엇인가요?,믿음,사랑,소망,순종,2
사랑,하나님이 세상을 이처럼 사랑하사 누구를 주셨나요?,천사,성령,독생자,말씀,3
사랑,이웃 사랑은 어떤 계명과 같다고 하셨나요?,제사,금식,하나님 사랑,구제,3
사랑,"""사랑은 허다한 죄를 ( )""",감추느니라,덮느니라,용서하느니라,이기느니라,2
사랑,예수님께서 주신 새 계명은?,서로를 도우라,서로 사랑하라,죄를 멀리하라,복음을 전하라,2
사랑,참된 사랑은 말과 혀로만 하지 말고 무엇으로 해야 하나요?,행동과 진실함으로,기도로,눈물로,찬양으로,1
사랑,사랑은 결코 ( ) 않느니라.,실패하지,끝나지,없어지지,변하지,1
사랑,하나님 사랑과 이웃 사랑을 합하면 율법과 ( )이라,교훈,진리,예언자들,선지자들,4
사랑,형제를 사랑하지 않는 자는 ( )에 거하느니라,어둠,죄,심판,저주,1
사랑,사랑은 으뜸 되는 ( )이다.,계명,선물,열매,은사,3
