category,question,option1,option2,option3,option4,answer
위인,다음 중 에디슨이 발명한 것은?,전화기,전구,기관차,자석,2
위인,마하트마 간디는 어느 나라의 독립을 이끈 인물인가?,파키스탄,인도,스리랑카,방글라데시,2
위인,"‘나는 생각한다, 고로 존재한다’는 누구의 말인가?",아리스토텔레스,플라톤,데카르트,소크라테스,3
위인,윈스턴 처칠은 어느 전쟁 중 영국 총리였나?,1차 세계대전,2차 세계대전,한국 전쟁,베트남 전쟁,2
위인,나폴레옹은 어느 나라의 황제였나?,프랑스,독일,스페인,이탈리아,1
위인,넬슨 만델라는 어느 인종차별 정책을 반대한가?,파시즘,전체주의,아파르트헤이트,공산주의,3
위인,레오나르도 다빈치는 어떤 작품을 남겼나?,별이 빛나는 밤에,절규,최후의 만찬,시계태엽 오렌지,3
위인,알베르트 슈바이처는 어떤 활동으로 유명했는가?,군사 혁명,산업 발명,의료 선교,철학 연구,3
위인,미국 흑인 인권 운동가 마틴 루터 킹의 연설 제목은?,We Will Win,Let Freedom Ring,I Have a Dream,No More Chains,3
위인,조선시대 세종대왕이 만든 것은?,측우기,훈민정음,한글날,대동여지도,2
위인,헬렌 켈러는 어떤 장애를 극복한 인물로 유명한가?,시각 장애,청각 장애,언어 장애,시청각 장애,4
위인,링컨이 미국에서 이끈 주요 개혁은?,보건 개혁,노예제 폐지,금융 개혁,교육 개혁,2
위인,스티브 잡스가 공동 창립한 회사는?,마이크로소프트,IBM,구글,애플,4
위인,안중근 의사가 저격한 인물은?,이토 히로부미,도요토미 히데요시,고노 요헤이,고이즈미 준이치로,1
위인,마리 퀴리는 무엇을 발견했나?,중력,전자,방사능,광합성,3
위인,스티븐 호킹은 어떤 분야의 과학자인가?,화학,천문학,의학,이론물리학,4
위인,아브라함 링컨의 명언은?,나는 꿈이 있다,피할 수 없으면 즐겨라,"국민의, 국민에 의한, 국민을 위한",지금 아니면 언제?,3
위인,정약용은 어떤 책을 썼나?,목민심서,동의보감,훈민정음,정감록,1
위인,유관순 열사는 어느 사건과 관련 있는가?,3·1 운동,6·25 전쟁,광복절,4·19 혁명,1
위인,장영실은 어떤 업적을 남겼나?,의료기기 발명,측우기 제작,청자 발명,기록화 그리기,2
