category,question,option1,option2,option3,option4,answer
용서,너희가 사람의 잘못을 용서하면 너희 하늘 아버지께서도 ___을 용서하시리라,믿음,복음,너희,사랑,3
용서,예수님은 베드로에게 몇 번까지 용서하라고 하셨나요?,3번,7번,70번 7번까지,매번,3
용서,탕자의 비유에서 아버지는 돌아온 아들을 어떻게 맞이했나요?,기도,달려가서 끌어안고 용서함,은혜,말씀,2
용서,"용서에 대한 비유로 나오는 두 사람 중, 큰 빚을 탕감받고도 친구를 용서하지 않은 사람은 누구인가요?",착한 종,악한 종,왕,바리새인,2
용서,십자가 위에서 예수님은 자신을 십자가에 못 박는 자들을 위해 무엇이라고 기도하셨나요?,진리,저들을 용서하소서,은혜,복음,2
용서,서로 ___하며 용서하되 주께서 너희를 용서하신 것 같이 너희도 그리하고,기도,말씀,진리,용납,4
용서,"예수님의 가르침에 따르면, 우리가 다른 사람을 용서하지 않으면 어떻게 되나요?",하나님께서도 우리를 용서하지 않으심,더 많은 축복을 주심,더 큰 시험이 옴,천국에 더 가까워짐,1
용서,요셉이 형들에게 자신을 판 일을 용서하고 눈물을 흘리며 한 말은?,진리,하나님이 미리 보내셨다,축복,믿음,2
용서,"용서를 구하는 마음으로 예물을 드리러 갈 때, 형제와의 관계가 좋지 않다면 어떻게 해야 하나요?",먼저 가서 화해한다,그냥 예물 드린다,나중에 사과한다,기도만 한다,1
용서,주의 긍휼하심이 크시므로 그가 ___를 용서하셨도다,구원,말씀,진리,죄악,4
용서,누가복음에서 용서받은 죄 많은 여인이 예수님의 발에 향유를 붓고 눈물로 적신 이유는?,말씀,사랑이 많았기 때문,진리,용서,2
용서,예수님께서 원수를 사랑하고 박해하는 자를 위해 어떻게 하라고 하셨나요?,기도하라,피하라,미워하지 말라,무시하라,1
용서,하나님은 우리의 죄를 어떻게 용서하시며 기억하지 않으신다고 했나요?,말씀,다시는 기억하지 않으신다,구원,진리,2
용서,용서는 누구의 성품을 본받는 것인가요?,예수님,사도 바울,세례 요한,다윗,1
용서,"하나님은 우리 죄를 사하시며, 모든 ___에서 우리를 깨끗하게 하실 것이다",구원,불의,복음,축복,2
용서,"예수님이 십자가에 달리시기 전, 제자들에게 강조한 계명 중 하나는?",사랑,경건,기도,용서,1
용서,"다윗이 간음과 살인의 죄를 지은 후, 하나님께 용서를 구한 시편은?",은혜,복음,축복,시편 51편,4
용서,우리가 서로 죄를 고백하고 기도함으로써 나을 수 있다고 한 사람은?,야고보,바울,베드로,요한,1
용서,주는 용서하심이 ___ 그를 경외하게 하심이니이다,구원,은혜,기도,있음,4
용서,"스데반 집사는 죽기 전, 자신을 돌로 치는 사람들을 위해 어떤 기도를 했나요?",이 죄를 그들에게 돌리지 마옵소서,기도,믿음,사랑,1
